#,dishSoapNoPrice,dishSoapWithPrice,coffeeNoPrice,coffeeWithPrice,handSoapNoPrice,handSoapWithPrice,toiletPaperNoPrice,toiletPaperWithPrice,laundryNoPrice,laundryWithPrice,cleaningSprayNoPrice,cleaningSprayWithPrice,juiceNoPrice,juiceWithPrice,riceNoPrice,riceWithPrice,toothpasteNoPrice,toothpasteWithPrice
w71wkqdwig2qzysxr9w71wkqg5bnkgnc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8gc229s6jvf9zbo8gc2xlgjdr57nw1ov,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lp7yskqs6vyx89z9yktdlp7yskhaa1m4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3i9i0ewyh9qpprhhk3i9i0ewadc62lnw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37dp3sydfn2m05f37d3d0qj121o26k0j,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cyahhaufiw8o09baezfcyahha0qe7ioa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
argiw648u7qqj7qz03ep9argiw64zz8s,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0a2748pu7vp1v0n50a274dx9hc8ruuh5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9hjkplhm59plhvxt8et9hjkoouts1vb6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3et6npds1uuyo3bgieax3et6ne9k7xr5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yu8heleicl82n7gzyu8h1favcth1zghe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
w4nsc2vb3v3bqsqw4nsc3tid9zp5clw3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vtx0ya1oaof1qmuzvzyzuybvtx0ya1za,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7hdx0fiw5wwhqb7hdx0z17uvylq2zctx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
y35awqk3wivvc4cxsqy35awqcja16ibw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56ypm6xg9ij569url156ypm25ruzgbcr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
heljg6g5ql6xq4e4cnosheljg8rfi1l2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38qr89d4sxh8i76gdfztr1838qr897j5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
imnfvc3wtxxitjzim33z0i0txgg06xdh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rbowdygr2mjl96ip7brbowd1x20y64ot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rbxeh99umnul3ftmrbxeh834cwhp2mmt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
usfac3bgpr7vibuausfuq6mr7jnqdmzv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zqlbjw6zdqn41tu8uzqlb0t8u75gwmv5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mabybovtozxqtmb8zfjmabybmg6qx688,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
l3og9uqt44vna469b0l3og9uqrivztzm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
u5rlh4haw5p84meu5rlw0e41n0r9d5dg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0mrqqmjlz5rto12q8v0mrqqapkl6f4xy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79fo63dnp80dwreos79fo63vv0w5qowp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9j0o48ekhbwkxsxqf0s9j0o48e5dyjpy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yzn1774a5dobaf92dryzn1780k2i80mz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ly76fcq6g0f3sxdnyry59v5ly76fcq7q,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1pjvhel1ivjulnwj8ppn1pjvhel14j5h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3012lbsncd02ru0s0oy3012lbydbv64j,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o6gakr7hch7wxr62o6gakwab7q7nj534,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2wrrf4tlgkvb12wr28tdh6ol9o9rvvcf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
w0e547l3n21fyrk62mmw0e54uo5sx2hn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fzxqofjqpagf98fzxq79yvkaxzd8cby5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cw7j9rwwduecw7hpxtwg5zkpd145gej7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s7c9fjo3chyrs7c9ftwpyvz1aeff5izv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rigjnhkw8o7v6fb9srigjgj6owz98ly7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o3hjysnorkbjxztnjaaroo3hjysnossd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
u71wzljvl6eya0nbzadzu71wx3x3hinx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
igktwnoqixe3pfzigktwya62wsuu2fzh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56et319qgztmfh05i0z456et319kuuik,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ifzjjph0m9vc56i177hlifzjh34q5fmp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9y6xzvsot8v9489cp9y6xzvsu8chp9a3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2sfjsfzesi7dk8p8ixsb2sfy49awmmgz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
843agihm10chyf53tauwj6843agifdei,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t6vhsou9bjzw0e6txl4mt6vhskaso1u1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9gyaxcw5oaz7b9fztvn339gyaxcqi9gw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
klf4r04yzya6mznjklfofjy97m9pwa2t,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wvn3kdmkdpec7cqbvfefqwvn3kdgqh42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
m9wmntxhc0onz4l05vqx6xm9wmnt7twv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5ujio121qdorcy0jxe05uji9msxbybow,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
u4lobefsda1emm12736i0u4lobzlxws4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zkxxf6ltqczjmcdlz4zkxxfbqwkr149b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5wne1ypeltm7vjnoh55wnezwrpxw719p,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1orxb9tvkp5e73wuvwe1orxb9tgfl1vm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
n20qdtofasraiqoi24i6ucqfn20qdtoo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9414off2jsf2mix039414gbbok8qq3q0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ytm1fz5r54dup8vgytm1fdjm4rfdky0b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
l078lmxd4jzjhz6k69k8l078lmx2fljg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a21wpajg9fzf9dfa21cm8d440gmrte7e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0u01kgz7rct26kczwo45220u01kucd8f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f03yqfovl3z1s7b5qqxf03yql62gcwg1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4caeqcslg2ttctsob94caeghrhf04h9z,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ruxlrinedbn8jspz4struxlri8d3iixm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xs5wj95l3w6fdwy9xs5wjifvbl2peebm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sxjd41xnp3qugdnezy7fkysxjd41xazc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
q2qxm0h9ksjdf6ejif7q2qxm0cm3qghc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zcxhx9ot34nk49lehjm82zcxqf57h9dz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dpszm6clc7q5klbjudpshb32frnf0szx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hgjhnh7fqqeeuaqif93hgjh3lpu21nk1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
w1yut8izhnvkmh4m9w1yutaq2vusuef4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62628x3ilrtdpcqmf0862628x3t80xo3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tu2y9h7tlz4w3osltu2fch0794f4ue0n,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ap98qab1azh49t2um6dlap98qauuuhhg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
thxcgx6dtjwya5i5y110y9thxcgx6ice,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mgamxxq1qoe8s8fzy1hmgamxx2emd003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kqm22nfytsar54krfzr001kqm22nf6xk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zoo86r8vgqmpj2qyjzoo86ncppvrvxlo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
trgqevleluz33p3trgw6mk21u7t3tkw6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gq1ghzy7l4m1r08dgq1g0ugekly4nrt1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h54a48ioa3k3un73wolh54a48a9i322r,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
e6q0msb4h5ls0h1iqa6vese6q0msbmrj,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gqlym00mtdvuan93ymeonmz1gqlym0h2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
trtfhap0dlp32kytrtf4xd87xpekyjwj,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
svn6zqvav7jk38gheyf1svn6zqv9cns9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1tsx9ihsm8y6ng3ctso1tsx9ibjbkkbl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mf27eza73thrmotmf2qmelqllisgreop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
npxpawjowguzcu9rt7znpxpazerkozp4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
if93fnsct8cy8y3ur4if93ordisdo7at,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bo6yuh0uxhm8q7g4p5bo640z5lv83cxa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
n9d413ykpvy9ry0068n9d41cfquqnlgf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bzp0tjz16c96ep8abzp0tjx2e6sfbct3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5yyhlvj3xydh9co3o02iy0hkk1b5yyhl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5w665751cydxxyt6iq5w665glsomwq03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
z46upooygse4w5kvefzznz46wvmha4tb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
v9pgdx2p0tzdf83pv9pgho5gjm4wnzw6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
larc4ym7zir34qbms6p7e2olarc4eo03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88f4v6yi62yq7yxv0n88f4v9bdi8mnwi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45o6axd61lwkh0zb45h4iycooshye005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
k95s3838hc9whnocak0zn9k95s38dlzs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0hpzc1qw38h4zerjtfq1r0hpzcy9782a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o66smrpszqbazm2gjo66smr9bmxkfiyz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g0nubsp6mlhpg0nubscj2eyvjz5f6an7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
xo4w952s9yqgglfn6356xo4w95h1asva,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seuzv552cythwj5sa1aoy9ubedlp65va,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5c806e9pkr0n55buq5c8064pgrcl0s6s,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5dcslbty6q2uae5dcslba0cruyh9r317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1vqbk8xa08m8l7q9rd1vqbk3ofkjunpa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p2ijku2e5yw56o87z4p2ijkp0jrn41yy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2gjh3398n7hxutyxpef33s2gjh331mmp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
iu2p6jw2k5cwuo8yqkidxnkiu2p6jt8x,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sf7qdha54y6t3ebdisf7qdhclofu3phj,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mwg4dxuq6809vzxh6mwg49e9iz7hstif,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pyolpy935xdwm7yfla0pyolpy3mjzjz7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rxnzfcj2r5fq7gdcyrxnzfc13oty3o1b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
essxrke4rghi4kbwgwessxrka8hqpl46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nyn5omth6q3lhd4gwzs8wtvonyn5omt8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
n1nxgpyz89h9eneymsn1nxg134nabqfb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hd4mqhhsks8rm1gnbbqzm91hd4mqwdz1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6fm1qdypjlzeqs0d6fm1fnwmo706xapy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
u1r4n5ye7wb11srwbndegkr7u1r49qkl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5xykel3b0151xgi0uaqi5xykelmmw3ls,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kntjw98o2zo9mub5kntjwin46yj8iqmk,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
of7jq0h6asl0rakjc7riof7jq05wst4n,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ujm9rl3n5hqyaujhpl8clfz7yjrmuhhb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3ak8ajuxa8kctzp3ak81i2d1l8h4pwzg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
u0ekjbsqk8eqqu0og1q79ldv41eog1qn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5uv8n6ulhsvjzw5al5uv86f0mt34kmhs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mj3d918px98yi670sn158mj3dsbkdo29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
x4q356dxirw7h7potcvi8px4q3569563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rjxr5ru3z6rbmgrxa4irjxr5wr9nv3q0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0elre6f6cosoih00eltgqvoqs3kg2qjn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cdv6f3h19nb1tvxjlcdv6j0ghlos1p6o,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49qxkuapfcfvlkf3fr49qxkuhe50jcck,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vsmm88e7bztm0vsmm8wyqbl1t958ua66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
z047qkzcmtz9zxdpufzbz047qkcmwbg1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6pg459r3sot6y4o6pg45w1bdrsk3ozh1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a337v0k8s5wndip6qpa337pezzq534lz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7q90oqqzwwar2mb21b37q90dco9fbsvt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87mafmhelggz9dwy8lpffb87mafmhdt2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fhfzzcbimno8mtbkefhfm7ti4eejjs04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
o93eplipew2cgtl2pyco93epgvb3ksfw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
da6u9oqa323akc2w0bzda6lk06ayolfx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4k8jasq9amrr5xaff4ky0cv3qdp8mo2h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
08qy01kc0lhtuy4eq7y08qy013aqf61u,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83w4729obw8jel83w4ihcprrlz2moqiz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yea2ofz2hda5v187l1yea2oma86kbluv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
u049x7q8hriqiusy015hjcou049x7qul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aij3j78cn8x4vmr2wsoaij3j78el95d6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
btwxp1cv74u7zfq05n07btwxp1cvr137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
exzzw8l5nz1z90t0uexzzwaki5t76pda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48wg7yf4lzzujzxnfkl0qg348wg7yqeb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lbszk9xfbwhtf4py19lbszk95rt0th3z,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lv280s0qp19tue9glv280s0ihglsje42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
miyhydh928h020qxdlyn4miyhydhtop7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
r44xn6u5lnfgv92mr448cm6jak4d8eop,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
jinxdlrf20y8f6jzt00c12jinxdawcwd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vvivks1q0oxyn40cx6b4v5divvivkswq,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
djzbd6spwkpgdzx0bf9ldjzbd6cwkol7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1abyvvjiin3nvsul6zwiir1abyvvdb6c,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
llg45ls7lxog3haim4r5collg44b188m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oiokrepbhrtxxvoiavh7lclq1u5d06mv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dtq80mydm2441mmjz4dtq80m70riyfrl,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bot4tgju1qxzgz2gqdmbot4tnl3w27ap,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
i3fmgp5q1s33rf0m8ri3fmgaed98gfdb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
j01f4t8rinr5n5fvdj01f4j1gdls836r,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2c3dys7atmse9i8z4ok2c3d6fqbj2xon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90a9z1l04veovhegiy90a9z1ldsl0z1y,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ejl7mkfafnw2dejllwbgzrutojlwsr6v,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h8kwmpw4sqy8ec6gcnxh8kwmp6vjz0c7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5v60uom9q2cd9vmlciof35v60uo4b7l4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wsd73bzgdm14hdv2vswsd38f19r25jdx,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ybo8gvo4rx0r5zqaxc3zmlybo8gvo43g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b93kj5lm3rtkwt1nb9ec3mnk8nmai4tp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5keb47wauk4jskq5kebetxcjcuzso3l0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bf4k48hnz9artml1sbf4k4830h0pxxv9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
r8ivxuc00dekm4bqr8lqd7l3844h7yxo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f8ja9oxzu2bsm9v6pf8ja99trnnmx4o8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hr55iqd8aavka8dzuh0vhr55i8u5uy2k,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
iay915g28bij2ewtmkgiay915g24aeiw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pi26j9nqu5sn2qhpi26b70g43pghikos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yzprbq7oglmei064byzprjmef6ndyxk2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s2kdmcr517x3b7xlqcgcs2kdmcanlu8b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yo202qd0jerjptyo20o3mmj899thd3e8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
01kz4h7lemsn7wal1t08l01kz4h450nh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
biqsqvvy5l1lnap7biqs7ia5taboxmoo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
382qupfr7furmajj5382qun6bc6wy0qi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
l7lh4ckofvdt9ckl7lh4eca82ttmc24o,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
wnl61xy6l0zowrez5rwwnl61x25pdknu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
yxc9sadlkesd33v6s1yxc9ryas4rkgey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alrs8gq8w8xfskalrs8rqnawcz751fv6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4yzj6240wv5o1bau72uypk4yzj6xzshu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hjwl3fuc66tgte4eqvxd7ihjwl3flwoz,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6y57v6brgl2aiky6yjye9mxfoz45bh0f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6y7as3n65xrjz45kr0a6y7ii6y3scsd6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
